Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Code,Name of Compound and Subclass,Rf (MPA),H° DEV 254 nm,CF,H° DEV 366 nm,CF2,H° NP 366 nm,CF3,UV-Vis Peaks,UV λ 1,UV λ 2,UV λ 3,Fl Peaks,Fl λ 1,Fl λ 2,Fl λ 3
1,"5-Methoxyflavone, Flavone",0.513,163.8,T,220.9,B,234.3,B,3,268,296,331,2,225,312,
2,"6-Hydroxyflavone-B-D-Gllucose, Flavone",0.098,155.2,T,237.2,B,241.7,V,2,265,310,,2,224,316,
3,"acacetin, Flavone",0.6491974,134.6,G,180,CB,77.6,Y,2,270,329,,2,224,357,
4,"apigenin, Flavone",0.6174157,134,G,199.1,CB,108.7,YG,2,271,336,,2,224,341,
5,"baicalin, Flavone",0.0294542,134.6,G,185,CB,180.5,CB,1,284,,,2,224,366,
6,"chrysin, Flavone",0.6721508,132.2,G,185.5,CB,61.5,Y,2,270,317,,2,224,358,
7,"Genkwanin, Flavone",0.6527287,138.9,G,46.1,O,125.6,G,2,268,338,,2,224,367,
8,"luteolin, Flavone",0.5839,129.1,G,33,O,54.1,O,2,268,352,,2,224,342,
9,"vitexin, Flavone",0.161878,137.1,G,180.4,CB,110.5,YG,2,273,337,,2,224,366,
10,"fisetin, Flavonol",0.5397271,138.2,G,175.9,T,31,O,3,264,325,393,2,224,363,
11,"galangin, Flavonol",0.7021669,131.3,G,171.6,T,172.4,T,3,268,311,363,2,224,343,
12,"isorhamnetin, Flavonol",0.651,136.1,G,180,CB,167,T,2,261,364,,2,224,340,
13,"kaempferide, Flavonol",0.6898073,129.4,G,144.2,G,160.9,T,3,269,330,367,2,223,361,
14,"kaempferol, Flavonol",0.6544943,130.9,G,150,T,150,T,2,269,371,,2,223,361,
15,"myricetin, Flavonol",0.5873996,129.9,G,131.7,G,30.5,O,2,261,373,,2,224,341,
16,"quercetin, Flavonol",0.6174157,125.9,G,127.1,G,37.3,O,2,261,370,,2,224,340,
17,"rutin, Flavonol",0.0329855,132.6,G,180,CB,41.6,O,2,264,361,,2,224,342,
18,"hesperetin, Flavanone",0.6668539,136.5,G,169.3,T,160.1,T,1,290,,,3,222,247,342
19,"hesperidin, Flavanone",0.0577046,140.3,G,186.4,CB,24.2,R,2,286,329,,3,223,254,364
20,"naringenin, Flavanone",0.68,136.8,G,176.5,T,160.1,T,1,292,,,2,223,365,
21,"naringin, Flavanone",0.0594703,133.9,G,130.2,G,148.9,G,2,286,333,,3,222,247,342
22,"pinocembrin, Flavanone",0.7233547,136.9,G,179.2,T,160.1,T,1,293,,,3,224,252,365
23,"sakuranetin, Flavanone",0.6986,136.8,G,159.6,T,102.2,YG,1,292,,,3,223,251,367
24,"pinobanksin, Flavanonol",0.6968699,136.8,G,190.7,CB,174.1,T,1,295,,,3,224,251,365
25,"taxifolin, Flavanonol",0.5909309,134.5,G,183.4,CB,51.1,O,1,292,,,3,224,256,364
26,"catechin, Flavan-3-ol",0.5203049,137.6,G,141.8,G,85.3,Y,1,281,,,3,224,255,342
27,"epicatechin, Flavan-3-ol",0.4991171,137.2,G,137.8,G,135.3,G,1,281,,,3,224,256,352
28,"epigallocatechin, Flavan-3-ol",0.4284911,137.3,G,177.2,T,111.1,YG,1,273,,,2,225,347,
29,"(-)-epigallocatechin gallate, Flavan-3-ol",0.4073033,135.8,G,188,CB,241.8,V,1,282,,,2,225,332,
30,"Biochanin A, Isoflavone",0.691573,132.7,G,96.6,YG,156.2,T,1,262,,,2,224,365,
31,"daidzein, Isoflavone",0.5997592,136.6,G,160.9,T,202.5,CB,2,250,305,,2,222,314,
32,"formononetin, Isoflavone",0.6368,147.4,G,195.3,CB,194.4,CB,2,250,306,,2,223,313,
33,"genistein, Isoflavone",0.6633226,128.1,G,181.4,CB,136.1,G,1,260,,,2,224,365,
34,"genistin, Isoflavone",0.18,132.8,G,176.6,T,147.5,G,1,261,,,2,222,358,
35,"t-Chalcone, Chalcone",0.7339486,137.1,G,113.4,YG,79.1,Y,1,310,,,2,221,366,
36,"2,3,4-THBA, HBAD",0.5891653,137.9,G,185.1,CB,216.2,B,1,267,,,2,223,339,
37,"2,3,4-TMBA, HBAD",0.6015248,141.5,G,120,G,147,G,1,261,,,2,225,308,
38,"2,4,5-TMBA, HBAD",0.471,152.4,T,255.5,V,254.7,V,2,261,312,,2,223,312,
39,"3,5-Dihydroxybenzoic acid, HBAD",0.5944622,138.2,G,191.3,CB,216.8,B,2,251,308,,2,225,313,
40,"benzoic acid, HBAD",0.6633,136.4,G,184.5,CB,159.4,T,1,276,,,2,221,328,
41,"Cuminic Acid, HBAD",0.6968699,135.5,G,180,CB,185,CB,1,243,,,2,221,333,
42,"ellagic acid, HBAD",0.01,129.6,G,212.3,B,206.7,CB,2,277,389,,2,223,365,
43,"eudesmic acid, HBAD",0.6174157,138.9,G,180,CB,203.4,CB,1,264,,,2,228,310,
44,"gallic acid, HBAD",0.5273675,135.3,G,152.2,T,256.1,V,1,272,,,2,225,314,
